Time,COP X (cm),COP Y (cm)
4.554642,3.595566,-5.747545
4.571568,3.439615,-5.694174
4.587731,3.425292,-5.466851
4.604512,3.53965,-5.656278
4.620864,3.789186,-5.801731
4.637576,3.789186,-5.801731
4.653998,3.510325,-5.719311
4.670594,3.786454,-5.215149
4.687132,3.935918,-4.22599
4.703709,4.059107,-3.076445
4.720265,4.183413,-1.718693
4.736832,4.183413,-1.718693
4.753398,-4.436591,-1.438115
4.769965,-6.759737,0.1812207
4.786796,-8.950716,-4.062912
4.803098,-9.844845,-6.708344
4.819819,-9.844845,-6.708344
4.836232,-13.27538,-5.114953
4.852798,-14.9119,-5.665185
4.869365,-14.9119,-5.665185
4.885931,-14.83903,-6.54976
4.902915,-13.61649,-6.915541
4.919861,-13.61649,-6.915541
4.935869,-13.08846,-7.389031
4.952199,-13.08846,-7.389031
4.968769,-13.00667,-7.296897
4.985332,-5.691124,-4.915381
5.001898,-5.691124,-4.915381
5.018821,-5.691124,-4.915381
5.035056,-4.783592,-6.739185
5.05167,-4.783592,-6.739185
5.068165,-6.689058,-7.311342
5.084731,-5.321419,-8.434097
5.101494,-3.000937,-9.404375
5.117864,-3.000937,-9.404375
5.134561,-2.1593,-10.43992
5.150998,-3.06231,-11.1033
5.167565,-3.06231,-11.1033
5.184131,-4.61634,-9.854193
5.200852,-4.934336,-9.227526
5.217265,-4.934336,-9.227526
5.233948,-4.882408,-8.296681
5.250654,-4.970602,-7.826995
5.266965,-5.112779,-7.243513
5.283883,-5.447901,-6.651095
5.300098,-5.335056,-6.069484
5.316845,-5.335056,-6.069484
5.333232,-5.40416,-5.626363
5.349799,-5.411355,-5.499548
5.366711,-5.508097,-5.566707
5.382932,-5.45311,-5.797605
5.399888,-5.45311,-5.797605
5.416064,-4.974947,-6.105806
5.432784,-4.931078,-6.47502
5.449799,-4.919042,-6.678247
5.465786,-4.822333,-6.83165
5.482757,-4.727333,-6.997265
5.498898,-4.727333,-6.997265
5.515798,-4.57007,-6.790918
5.532762,-4.473146,-6.494808
5.548836,-4.394506,-6.105382
5.565648,-4.489589,-6.106563
5.581789,-4.331458,-6.017727
5.598298,-4.331458,-6.017727
5.614877,-4.271826,-5.946691
5.631432,-4.296999,-5.976134
5.648746,-4.588691,-6.185945
5.664606,-4.433257,-6.77877
5.681609,-4.433257,-6.77877
5.697845,-4.433257,-6.77877
5.714264,-4.499337,-7.256546
5.730832,-4.502242,-7.462515
